theta	g	nc	misspec	maxi	return-expected	average-area	folded-average-area	
20	-100	1000	None	900	True	897.702439477573	497.70243947757297	
20	-10	1000	None	900	True	887.2479559385513	487.2482105621574	
20	-1	1000	None	900	True	816.9011304028481	430.3297749050847	
20	0	1000	None	900	True	778.5515215343424	407.95539083989524	
20	1	1000	None	900	True	741.3245200927439	390.60783567302894	
20	10	1000	None	900	True	666.1531243844817	379.19639156072765	
20	100	1000	None	900	True	662.3425098773198	407.95539083989524	
200	-100	10000	None	9000	True	8987.735184231371	4987.735184231374	
200	-10	10000	None	9000	True	8916.28433520676	4916.285886415064	
200	-1	10000	None	9000	True	8382.987234921533	4481.221827973364	
200	0	10000	None	9000	True	8070.964096666123	4292.355166671169	
200	1	10000	None	9000	True	7757.7188102701275	4136.875094651038	
200	10	10000	None	9000	True	7110.897899476537	3998.3717878721573	
200	100	10000	None	9000	True	7078.947917540863	4292.355166671169	
2000	-100	100000	None	90000	True	89919.72925710704	49919.72925710703	
2000	-10	100000	None	90000	True	89384.43658228671	49384.447881916894	
2000	-1	100000	None	90000	True	85105.5154656204	45880.66551043822	
2000	0	100000	None	90000	True	82490.97928555464	44267.37860964028	
2000	1	100000	None	90000	True	79807.07918421357	42888.95686622874	
2000	10	100000	None	90000	True	74163.3119960022	41458.026193066384	
2000	100	100000	None	90000	True	73884.00943697928	44267.37860964028	
